municipio_id;rain;year
231355;429;2016
231360;1293.1;2020
231360;1083.5;2019
231360;1108.5;2018
231360;1080.6;2017
231360;666.9;2016
231370;1098.3;2020
231370;622;2019
231370;835.7;2018
231370;619.6;2017
231370;596.6;2016
231375;965.3;2020
231375;1120;2019
231375;867.6;2018
231375;668.1;2017
231375;492.9;2016
231380;1048.1;2020
231380;1189;2019
231380;1086.6;2018
231380;787.1;2017
231380;417.7;2016
231390;1295.4;2020
231390;1244.7;2019
231390;1211.9;2018
231390;893.2;2017
231390;820;2016
231395;1092.7;2020
231395;41.4;2019
231395;NA;2018
231395;719.4;2017
231395;538.3;2016
231400;1214.1;2020
231400;766.9;2019
231400;1263.5;2018
231400;739;2017
231400;955.9;2016
231410;1425.7;2020
231410;1173.6;2019
231410;1157.1;2018
231410;1102.3;2017
231410;706.3;2016
